pred,obs,N,S,rowIndex,mtry,Resample
N,N,0.938,0.062,4,2,Fold05.Rep2
S,N,0.236,0.764,7,2,Fold05.Rep2
S,N,0.36,0.64,8,2,Fold05.Rep2
S,N,0.236,0.764,15,2,Fold05.Rep2
N,N,0.636,0.364,58,2,Fold05.Rep2
S,N,0.056,0.944,74,2,Fold05.Rep2
N,N,0.972,0.028,82,2,Fold05.Rep2
N,N,0.938,0.062,93,2,Fold05.Rep2
N,N,0.714,0.286,98,2,Fold05.Rep2
N,N,0.73,0.27,104,2,Fold05.Rep2
S,S,0.116,0.884,111,2,Fold05.Rep2
N,S,0.862,0.138,117,2,Fold05.Rep2
N,S,0.748,0.252,129,2,Fold05.Rep2
N,S,0.714,0.286,141,2,Fold05.Rep2
N,S,0.598,0.402,153,2,Fold05.Rep2
S,S,0.424,0.576,168,2,Fold05.Rep2
N,S,0.55,0.45,193,2,Fold05.Rep2
N,S,0.938,0.062,196,2,Fold05.Rep2
N,S,0.748,0.252,197,2,Fold05.Rep2
N,S,0.636,0.364,205,2,Fold05.Rep2
S,N,0.494,0.506,3,2,Fold06.Rep2
N,N,0.9,0.1,12,2,Fold06.Rep2
N,N,0.528,0.472,26,2,Fold06.Rep2
S,N,0.044,0.956,32,2,Fold06.Rep2
N,N,0.52,0.48,42,2,Fold06.Rep2
N,N,0.968,0.032,60,2,Fold06.Rep2
S,N,0.364,0.636,80,2,Fold06.Rep2
N,N,0.55,0.45,94,2,Fold06.Rep2
N,N,0.814,0.186,95,2,Fold06.Rep2
N,N,0.9,0.1,96,2,Fold06.Rep2
N,S,0.526,0.474,107,2,Fold06.Rep2
N,S,0.814,0.186,109,2,Fold06.Rep2
S,S,0.494,0.506,116,2,Fold06.Rep2
S,S,0.364,0.636,124,2,Fold06.Rep2
S,S,0.3,0.7,136,2,Fold06.Rep2
N,S,0.714,0.286,142,2,Fold06.Rep2
S,S,0.344,0.656,145,2,Fold06.Rep2
N,S,0.52,0.48,184,2,Fold06.Rep2
S,S,0.044,0.956,187,2,Fold06.Rep2
S,N,0.49,0.51,16,2,Fold07.Rep2
S,N,0.248,0.752,20,2,Fold07.Rep2
S,N,0.494,0.506,34,2,Fold07.Rep2
N,N,0.878,0.122,41,2,Fold07.Rep2
S,N,0.248,0.752,48,2,Fold07.Rep2
S,N,0.444,0.556,54,2,Fold07.Rep2
N,N,0.75,0.25,63,2,Fold07.Rep2
S,N,0.336,0.664,66,2,Fold07.Rep2
S,N,0.444,0.556,69,2,Fold07.Rep2
N,N,0.878,0.122,85,2,Fold07.Rep2
N,S,0.75,0.25,118,2,Fold07.Rep2
N,S,0.68,0.32,121,2,Fold07.Rep2
N,S,0.75,0.25,128,2,Fold07.Rep2
N,S,0.588,0.412,130,2,Fold07.Rep2
S,S,0.114,0.886,148,2,Fold07.Rep2
S,S,0.336,0.664,152,2,Fold07.Rep2
N,S,0.996,0.004,161,2,Fold07.Rep2
N,S,0.994,0.006,177,2,Fold07.Rep2
S,S,0.114,0.886,179,2,Fold07.Rep2
S,S,0.33,0.67,189,2,Fold07.Rep2
N,N,0.608,0.392,9,2,Fold08.Rep2
N,N,0.932,0.068,24,2,Fold08.Rep2
N,N,0.934,0.066,25,2,Fold08.Rep2
S,N,0.218,0.782,27,2,Fold08.Rep2
N,N,0.934,0.066,38,2,Fold08.Rep2
S,N,0.38,0.62,45,2,Fold08.Rep2
N,N,0.608,0.392,49,2,Fold08.Rep2
S,N,0.38,0.62,77,2,Fold08.Rep2
S,N,0.218,0.782,78,2,Fold08.Rep2
S,N,0.044,0.956,79,2,Fold08.Rep2
S,N,0.044,0.956,91,2,Fold08.Rep2
N,S,0.872,0.128,123,2,Fold08.Rep2
N,S,0.718,0.282,131,2,Fold08.Rep2
N,S,0.718,0.282,135,2,Fold08.Rep2
S,S,0.38,0.62,138,2,Fold08.Rep2
N,S,0.694,0.306,147,2,Fold08.Rep2
N,S,0.718,0.282,157,2,Fold08.Rep2
S,S,0.096,0.904,159,2,Fold08.Rep2
S,S,0.164,0.836,186,2,Fold08.Rep2
