pred,obs,N,S,rowIndex,mtry,Resample
N,N,0.974,0.026,12,2,Fold06.Rep1
N,N,1,0,21,2,Fold06.Rep1
N,N,0.712,0.288,25,2,Fold06.Rep1
N,N,1,0,59,2,Fold06.Rep1
N,N,0.996,0.004,60,2,Fold06.Rep1
N,N,0.648,0.352,87,2,Fold06.Rep1
N,N,1,0,104,2,Fold06.Rep1
N,N,0.918,0.082,108,2,Fold06.Rep1
N,N,0.712,0.288,113,2,Fold06.Rep1
N,N,1,0,116,2,Fold06.Rep1
N,N,0.974,0.026,117,2,Fold06.Rep1
N,N,0.944,0.056,135,2,Fold06.Rep1
N,N,0.944,0.056,141,2,Fold06.Rep1
N,S,0.944,0.056,157,2,Fold06.Rep1
S,S,0.224,0.776,171,2,Fold06.Rep1
S,S,0.224,0.776,178,2,Fold06.Rep1
N,S,0.712,0.288,180,2,Fold06.Rep1
N,S,0.944,0.056,184,2,Fold06.Rep1
N,S,0.944,0.056,196,2,Fold06.Rep1
N,S,0.648,0.352,197,2,Fold06.Rep1
N,N,0.904,0.096,15,2,Fold07.Rep1
N,N,0.746,0.254,24,2,Fold07.Rep1
N,N,0.746,0.254,34,2,Fold07.Rep1
N,N,0.904,0.096,35,2,Fold07.Rep1
N,N,0.908,0.092,57,2,Fold07.Rep1
N,N,0.998,0.002,67,2,Fold07.Rep1
S,N,0.166,0.834,76,2,Fold07.Rep1
N,N,0.506,0.494,77,2,Fold07.Rep1
N,N,0.746,0.254,119,2,Fold07.Rep1
N,N,0.986,0.014,122,2,Fold07.Rep1
N,N,0.998,0.002,123,2,Fold07.Rep1
N,N,0.506,0.494,126,2,Fold07.Rep1
N,N,0.986,0.014,128,2,Fold07.Rep1
N,N,1,0,132,2,Fold07.Rep1
N,S,0.998,0.002,164,2,Fold07.Rep1
N,S,0.998,0.002,175,2,Fold07.Rep1
N,S,0.904,0.096,187,2,Fold07.Rep1
N,S,0.746,0.254,189,2,Fold07.Rep1
N,S,0.746,0.254,194,2,Fold07.Rep1
S,S,0.166,0.834,198,2,Fold07.Rep1
N,N,0.928,0.072,19,2,Fold08.Rep1
N,N,0.928,0.072,47,2,Fold08.Rep1
N,N,0.97,0.03,63,2,Fold08.Rep1
N,N,0.956,0.044,73,2,Fold08.Rep1
N,N,0.862,0.138,83,2,Fold08.Rep1
N,N,1,0,103,2,Fold08.Rep1
N,N,0.982,0.018,106,2,Fold08.Rep1
N,N,1,0,112,2,Fold08.Rep1
N,N,0.618,0.382,118,2,Fold08.Rep1
N,N,0.982,0.018,120,2,Fold08.Rep1
N,N,0.982,0.018,121,2,Fold08.Rep1
N,N,0.862,0.138,125,2,Fold08.Rep1
N,N,0.99,0.01,138,2,Fold08.Rep1
N,N,0.862,0.138,139,2,Fold08.Rep1
N,S,0.862,0.138,148,2,Fold08.Rep1
S,S,0.362,0.638,149,2,Fold08.Rep1
S,S,0.362,0.638,150,2,Fold08.Rep1
S,S,0.362,0.638,158,2,Fold08.Rep1
N,S,0.868,0.132,163,2,Fold08.Rep1
N,S,0.97,0.03,200,2,Fold08.Rep1
N,N,1,0,13,2,Fold09.Rep1
N,N,0.772,0.228,17,2,Fold09.Rep1
N,N,0.94,0.06,20,2,Fold09.Rep1
N,N,0.93,0.07,22,2,Fold09.Rep1
N,N,1,0,27,2,Fold09.Rep1
N,N,0.978,0.022,38,2,Fold09.Rep1
N,N,0.94,0.06,43,2,Fold09.Rep1
S,N,0.08,0.92,50,2,Fold09.Rep1
N,N,1,0,70,2,Fold09.Rep1
N,N,1,0,97,2,Fold09.Rep1
N,N,1,0,105,2,Fold09.Rep1
N,N,0.926,0.074,111,2,Fold09.Rep1
S,N,0.08,0.92,140,2,Fold09.Rep1
N,N,0.772,0.228,144,2,Fold09.Rep1
S,S,0.08,0.92,146,2,Fold09.Rep1
N,S,0.94,0.06,155,2,Fold09.Rep1
N,S,0.978,0.022,172,2,Fold09.Rep1
N,S,0.772,0.228,182,2,Fold09.Rep1
N,S,0.806,0.194,183,2,Fold09.Rep1
N,S,0.94,0.06,193,2,Fold09.Rep1
N,N,1,0,2,2,Fold10.Rep1
N,N,1,0,11,2,Fold10.Rep1
N,N,0.998,0.002,41,2,Fold10.Rep1
N,N,0.93,0.07,49,2,Fold10.Rep1
N,N,0.998,0.002,61,2,Fold10.Rep1
N,N,1,0,69,2,Fold10.Rep1
N,N,0.998,0.002,72,2,Fold10.Rep1
N,N,0.932,0.068,75,2,Fold10.Rep1
N,N,0.936,0.064,80,2,Fold10.Rep1
N,N,0.994,0.006,81,2,Fold10.Rep1
N,N,0.972,0.028,88,2,Fold10.Rep1
N,N,1,0,107,2,Fold10.Rep1
N,N,0.998,0.002,115,2,Fold10.Rep1
N,N,1,0,131,2,Fold10.Rep1
N,S,1,0,145,2,Fold10.Rep1
N,S,0.972,0.028,161,2,Fold10.Rep1
N,S,1,0,185,2,Fold10.Rep1
N,S,1,0,190,2,Fold10.Rep1
N,S,0.932,0.068,192,2,Fold10.Rep1
N,S,0.802,0.198,195,2,Fold10.Rep1
N,N,0.748,0.252,5,2,Fold01.Rep2
N,N,1,0,13,2,Fold01.Rep2
N,N,0.898,0.102,14,2,Fold01.Rep2
N,N,0.898,0.102,15,2,Fold01.Rep2
S,N,0.11,0.89,16,2,Fold01.Rep2
N,N,0.926,0.074,44,2,Fold01.Rep2
N,N,1,0,62,2,Fold01.Rep2
N,N,0.936,0.064,65,2,Fold01.Rep2
N,N,0.898,0.102,85,2,Fold01.Rep2
N,N,0.974,0.026,99,2,Fold01.Rep2
N,N,1,0,115,2,Fold01.Rep2
N,N,0.898,0.102,125,2,Fold01.Rep2
N,N,0.988,0.012,128,2,Fold01.Rep2
N,N,0.974,0.026,138,2,Fold01.Rep2
N,N,0.988,0.012,142,2,Fold01.Rep2
N,S,0.748,0.252,156,2,Fold01.Rep2
S,S,0.11,0.89,158,2,Fold01.Rep2
N,S,0.898,0.102,176,2,Fold01.Rep2
N,S,0.918,0.082,182,2,Fold01.Rep2
N,S,0.918,0.082,191,2,Fold01.Rep2
N,S,0.898,0.102,193,2,Fold01.Rep2
N,N,1,0,3,2,Fold02.Rep2
N,N,1,0,4,2,Fold02.Rep2
N,N,0.854,0.146,28,2,Fold02.Rep2
N,N,0.998,0.002,41,2,Fold02.Rep2
N,N,0.854,0.146,45,2,Fold02.Rep2
N,N,0.996,0.004,58,2,Fold02.Rep2
N,N,0.892,0.108,68,2,Fold02.Rep2
N,N,1,0,71,2,Fold02.Rep2
N,N,0.518,0.482,77,2,Fold02.Rep2
N,N,1,0,93,2,Fold02.Rep2
N,N,1,0,94,2,Fold02.Rep2
N,N,0.918,0.082,95,2,Fold02.Rep2
N,N,0.998,0.002,103,2,Fold02.Rep2
N,N,0.854,0.146,110,2,Fold02.Rep2
S,S,0.294,0.706,150,2,Fold02.Rep2
S,S,0.294,0.706,162,2,Fold02.Rep2
N,S,0.854,0.146,169,2,Fold02.Rep2
S,S,0.294,0.706,171,2,Fold02.Rep2
N,S,0.996,0.004,177,2,Fold02.Rep2
N,S,0.854,0.146,194,2,Fold02.Rep2
N,S,0.854,0.146,203,2,Fold02.Rep2
N,N,1,0,11,2,Fold03.Rep2
N,N,0.906,0.094,23,2,Fold03.Rep2
N,N,0.884,0.116,24,2,Fold03.Rep2
N,N,1,0,59,2,Fold03.Rep2
N,N,0.992,0.008,60,2,Fold03.Rep2
N,N,0.93,0.07,63,2,Fold03.Rep2
N,N,0.906,0.094,78,2,Fold03.Rep2
N,N,1,0,79,2,Fold03.Rep2
N,N,0.644,0.356,87,2,Fold03.Rep2
N,N,1,0,104,2,Fold03.Rep2
N,N,1,0,112,2,Fold03.Rep2
N,N,1,0,114,2,Fold03.Rep2
N,N,0.992,0.008,122,2,Fold03.Rep2
N,N,0.906,0.094,135,2,Fold03.Rep2
N,N,0.906,0.094,139,2,Fold03.Rep2
N,S,1,0,174,2,Fold03.Rep2
N,S,0.998,0.002,175,2,Fold03.Rep2
N,S,0.884,0.116,180,2,Fold03.Rep2
N,S,0.906,0.094,187,2,Fold03.Rep2
N,S,0.884,0.116,189,2,Fold03.Rep2
N,S,0.906,0.094,196,2,Fold03.Rep2
N,N,0.758,0.242,17,2,Fold04.Rep2
N,N,0.79,0.21,40,2,Fold04.Rep2
N,N,0.93,0.07,43,2,Fold04.Rep2
N,N,0.79,0.21,47,2,Fold04.Rep2
N,N,0.79,0.21,49,2,Fold04.Rep2
N,N,0.988,0.012,53,2,Fold04.Rep2
N,N,0.77,0.23,57,2,Fold04.Rep2
N,N,0.93,0.07,75,2,Fold04.Rep2
N,N,1,0,97,2,Fold04.Rep2
N,N,1,0,105,2,Fold04.Rep2
S,N,0.156,0.844,109,2,Fold04.Rep2
N,N,1,0,116,2,Fold04.Rep2
N,N,1,0,121,2,Fold04.Rep2
N,N,0.79,0.21,127,2,Fold04.Rep2
S,S,0.156,0.844,149,2,Fold04.Rep2
N,S,1,0,164,2,Fold04.Rep2
N,S,0.79,0.21,183,2,Fold04.Rep2
N,S,0.93,0.07,192,2,Fold04.Rep2
N,S,0.988,0.012,200,2,Fold04.Rep2
N,S,1,0,204,2,Fold04.Rep2
N,N,0.972,0.028,1,2,Fold05.Rep2
S,N,0.176,0.824,6,2,Fold05.Rep2
N,N,0.998,0.002,9,2,Fold05.Rep2
N,N,0.972,0.028,12,2,Fold05.Rep2
N,N,0.998,0.002,33,2,Fold05.Rep2
N,N,0.972,0.028,46,2,Fold05.Rep2
N,N,1,0,48,2,Fold05.Rep2
N,N,1,0,55,2,Fold05.Rep2
N,N,1,0,72,2,Fold05.Rep2
S,N,0.176,0.824,76,2,Fold05.Rep2
N,N,0.99,0.01,91,2,Fold05.Rep2
N,N,0.99,0.01,101,2,Fold05.Rep2
N,N,0.926,0.074,111,2,Fold05.Rep2
N,N,0.93,0.07,133,2,Fold05.Rep2
S,S,0.176,0.824,146,2,Fold05.Rep2
N,S,0.984,0.016,147,2,Fold05.Rep2
N,S,0.866,0.134,163,2,Fold05.Rep2
N,S,0.93,0.07,179,2,Fold05.Rep2
S,S,0.176,0.824,186,2,Fold05.Rep2
S,S,0.176,0.824,201,2,Fold05.Rep2
S,N,0.094,0.906,18,2,Fold06.Rep2
S,N,0.442,0.558,25,2,Fold06.Rep2
N,N,0.99,0.01,31,2,Fold06.Rep2
S,N,0.094,0.906,37,2,Fold06.Rep2
S,N,0.442,0.558,39,2,Fold06.Rep2
S,N,0.442,0.558,54,2,Fold06.Rep2
N,N,0.974,0.026,69,2,Fold06.Rep2
N,N,0.974,0.026,89,2,Fold06.Rep2
N,N,0.974,0.026,117,2,Fold06.Rep2
N,N,0.838,0.162,118,2,Fold06.Rep2
S,N,0.442,0.558,119,2,Fold06.Rep2
N,N,0.99,0.01,120,2,Fold06.Rep2
N,N,1,0,132,2,Fold06.Rep2
N,N,1,0,136,2,Fold06.Rep2
S,N,0.442,0.558,144,2,Fold06.Rep2
N,S,0.974,0.026,148,2,Fold06.Rep2
N,S,0.974,0.026,155,2,Fold06.Rep2
N,S,1,0,165,2,Fold06.Rep2
N,S,0.838,0.162,168,2,Fold06.Rep2
S,S,0.094,0.906,178,2,Fold06.Rep2
N,S,0.838,0.162,195,2,Fold06.Rep2
N,N,1,0,8,2,Fold07.Rep2
N,N,1,0,21,2,Fold07.Rep2
N,N,0.91,0.09,29,2,Fold07.Rep2
N,N,1,0,30,2,Fold07.Rep2
N,N,0.996,0.004,32,2,Fold07.Rep2
N,N,0.934,0.066,36,2,Fold07.Rep2
N,N,0.956,0.044,38,2,Fold07.Rep2
S,N,0.112,0.888,56,2,Fold07.Rep2
N,N,1,0,61,2,Fold07.Rep2
N,N,1,0,70,2,Fold07.Rep2
N,N,1,0,82,2,Fold07.Rep2
N,N,0.584,0.416,90,2,Fold07.Rep2
N,N,0.994,0.006,106,2,Fold07.Rep2
N,N,0.996,0.004,123,2,Fold07.Rep2
N,S,0.996,0.004,145,2,Fold07.Rep2
N,S,1,0,151,2,Fold07.Rep2
N,S,1,0,154,2,Fold07.Rep2
N,S,1,0,159,2,Fold07.Rep2
N,S,0.91,0.09,184,2,Fold07.Rep2
N,S,0.996,0.004,190,2,Fold07.Rep2
N,N,0.942,0.058,7,2,Fold08.Rep2
N,N,1,0,10,2,Fold08.Rep2
N,N,0.952,0.048,26,2,Fold08.Rep2
N,N,0.702,0.298,34,2,Fold08.Rep2
N,N,1,0,66,2,Fold08.Rep2
N,N,0.988,0.012,67,2,Fold08.Rep2
N,N,0.702,0.298,74,2,Fold08.Rep2
N,N,0.924,0.076,80,2,Fold08.Rep2
N,N,0.988,0.012,84,2,Fold08.Rep2
N,N,1,0,86,2,Fold08.Rep2
N,N,0.932,0.068,108,2,Fold08.Rep2
N,N,0.942,0.058,124,2,Fold08.Rep2
N,N,0.624,0.376,137,2,Fold08.Rep2
N,N,0.942,0.058,143,2,Fold08.Rep2
N,S,1,0,153,2,Fold08.Rep2
S,S,0.262,0.738,167,2,Fold08.Rep2
N,S,0.952,0.048,170,2,Fold08.Rep2
N,S,0.942,0.058,172,2,Fold08.Rep2
N,S,1,0,185,2,Fold08.Rep2
S,S,0.262,0.738,188,2,Fold08.Rep2
N,N,0.922,0.078,35,2,Fold09.Rep2
N,N,1,0,51,2,Fold09.Rep2
N,N,1,0,64,2,Fold09.Rep2
N,N,0.996,0.004,81,2,Fold09.Rep2
N,N,0.936,0.064,88,2,Fold09.Rep2
N,N,0.99,0.01,96,2,Fold09.Rep2
N,N,1,0,98,2,Fold09.Rep2
N,N,0.922,0.078,100,2,Fold09.Rep2
N,N,0.996,0.004,102,2,Fold09.Rep2
N,N,1,0,107,2,Fold09.Rep2
N,N,0.824,0.176,113,2,Fold09.Rep2
N,N,1,0,129,2,Fold09.Rep2
N,N,1,0,131,2,Fold09.Rep2
S,N,0.128,0.872,140,2,Fold09.Rep2
N,S,0.922,0.078,157,2,Fold09.Rep2
N,S,0.814,0.186,160,2,Fold09.Rep2
N,S,0.996,0.004,173,2,Fold09.Rep2
N,S,1,0,199,2,Fold09.Rep2
S,S,0.128,0.872,202,2,Fold09.Rep2
N,S,0.824,0.176,205,2,Fold09.Rep2
N,N,1,0,2,2,Fold10.Rep2
N,N,0.908,0.092,19,2,Fold10.Rep2
N,N,0.874,0.126,20,2,Fold10.Rep2
N,N,0.908,0.092,22,2,Fold10.Rep2
N,N,1,0,27,2,Fold10.Rep2
N,N,0.986,0.014,42,2,Fold10.Rep2
S,N,0.196,0.804,50,2,Fold10.Rep2
N,N,0.98,0.02,52,2,Fold10.Rep2
N,N,0.872,0.128,73,2,Fold10.Rep2
N,N,0.874,0.126,83,2,Fold10.Rep2
N,N,0.872,0.128,92,2,Fold10.Rep2
N,N,0.606,0.394,126,2,Fold10.Rep2
N,N,0.606,0.394,130,2,Fold10.Rep2
N,N,0.98,0.02,134,2,Fold10.Rep2
N,N,0.874,0.126,141,2,Fold10.Rep2
N,S,1,0,152,2,Fold10.Rep2
N,S,0.986,0.014,161,2,Fold10.Rep2
N,S,0.874,0.126,166,2,Fold10.Rep2
S,S,0.196,0.804,181,2,Fold10.Rep2
N,S,0.606,0.394,197,2,Fold10.Rep2
S,S,0.196,0.804,198,2,Fold10.Rep2
N,N,1,0,2,2,Fold01.Rep3
N,N,0.95,0.05,20,2,Fold01.Rep3
N,N,1,0,33,2,Fold01.Rep3
N,N,0.94,0.06,49,2,Fold01.Rep3
N,N,0.84,0.16,54,2,Fold01.Rep3
N,N,1,0,64,2,Fold01.Rep3
N,N,0.996,0.004,69,2,Fold01.Rep3
N,N,0.596,0.404,77,2,Fold01.Rep3
N,N,0.998,0.002,81,2,Fold01.Rep3
N,N,0.936,0.064,111,2,Fold01.Rep3
N,N,0.84,0.16,119,2,Fold01.Rep3
N,N,0.998,0.002,122,2,Fold01.Rep3
N,N,1,0,132,2,Fold01.Rep3
N,N,0.996,0.004,134,2,Fold01.Rep3
N,N,1,0,136,2,Fold01.Rep3
N,S,0.996,0.004,145,2,Fold01.Rep3
N,S,0.95,0.05,170,2,Fold01.Rep3
N,S,0.998,0.002,177,2,Fold01.Rep3
S,S,0.206,0.794,181,2,Fold01.Rep3
N,S,0.84,0.16,194,2,Fold01.Rep3
N,S,0.84,0.16,205,2,Fold01.Rep3
N,N,1,0,11,2,Fold02.Rep3
N,N,0.926,0.074,15,2,Fold02.Rep3
N,N,0.982,0.018,32,2,Fold02.Rep3
N,N,0.956,0.044,38,2,Fold02.Rep3
N,N,0.826,0.174,45,2,Fold02.Rep3
N,N,0.982,0.018,52,2,Fold02.Rep3
N,N,0.964,0.036,65,2,Fold02.Rep3
N,N,1,0,82,2,Fold02.Rep3
N,N,0.956,0.044,88,2,Fold02.Rep3
N,N,0.662,0.338,90,2,Fold02.Rep3
N,N,1,0,97,2,Fold02.Rep3
N,N,1,0,103,2,Fold02.Rep3
N,N,0.662,0.338,118,2,Fold02.Rep3
N,N,0.662,0.338,126,2,Fold02.Rep3
S,S,0.218,0.782,150,2,Fold02.Rep3
N,S,1,0,152,2,Fold02.Rep3
N,S,0.826,0.174,163,2,Fold02.Rep3
N,S,0.662,0.338,168,2,Fold02.Rep3
N,S,0.956,0.044,172,2,Fold02.Rep3
N,S,0.662,0.338,195,2,Fold02.Rep3
S,N,0.02,0.98,6,2,Fold03.Rep3
S,N,0.02,0.98,16,2,Fold03.Rep3
N,N,0.916,0.084,19,2,Fold03.Rep3
S,N,0.02,0.98,37,2,Fold03.Rep3
N,N,0.906,0.094,39,2,Fold03.Rep3
N,N,0.916,0.084,47,2,Fold03.Rep3
N,N,1,0,62,2,Fold03.Rep3
S,N,0.02,0.98,76,2,Fold03.Rep3
N,N,1,0,112,2,Fold03.Rep3
N,N,0.978,0.022,117,2,Fold03.Rep3
N,N,0.994,0.006,120,2,Fold03.Rep3
N,N,1,0,131,2,Fold03.Rep3
N,N,0.978,0.022,138,2,Fold03.Rep3
N,N,0.9,0.1,141,2,Fold03.Rep3
N,S,0.904,0.096,156,2,Fold03.Rep3
N,S,1,0,159,2,Fold03.Rep3
N,S,0.906,0.094,180,2,Fold03.Rep3
N,S,0.904,0.096,183,2,Fold03.Rep3
N,S,0.906,0.094,189,2,Fold03.Rep3
S,S,0.02,0.98,202,2,Fold03.Rep3
N,N,0.992,0.008,12,2,Fold04.Rep3
N,N,1,0,13,2,Fold04.Rep3
N,N,0.984,0.016,14,2,Fold04.Rep3
N,N,1,0,27,2,Fold04.Rep3
N,N,0.952,0.048,44,2,Fold04.Rep3
S,N,0.104,0.896,56,2,Fold04.Rep3
N,N,0.972,0.028,60,2,Fold04.Rep3
N,N,1,0,70,2,Fold04.Rep3
N,N,1,0,79,2,Fold04.Rep3
N,N,0.932,0.068,80,2,Fold04.Rep3
N,N,1,0,94,2,Fold04.Rep3
N,N,0.972,0.028,101,2,Fold04.Rep3
N,N,0.74,0.26,110,2,Fold04.Rep3
N,N,1,0,116,2,Fold04.Rep3
N,N,0.972,0.028,128,2,Fold04.Rep3
N,S,0.984,0.016,148,2,Fold04.Rep3
N,S,0.984,0.016,157,2,Fold04.Rep3
N,S,1,0,174,2,Fold04.Rep3
N,S,0.984,0.016,184,2,Fold04.Rep3
N,S,0.984,0.016,196,2,Fold04.Rep3
N,S,1,0,199,2,Fold04.Rep3
N,N,0.992,0.008,1,2,Fold05.Rep3
N,N,0.87,0.13,17,2,Fold05.Rep3
S,N,0.114,0.886,18,2,Fold05.Rep3
N,N,1,0,21,2,Fold05.Rep3
N,N,0.926,0.074,36,2,Fold05.Rep3
N,N,0.934,0.066,42,2,Fold05.Rep3
N,N,1,0,59,2,Fold05.Rep3
N,N,0.998,0.002,61,2,Fold05.Rep3
N,N,0.948,0.052,75,2,Fold05.Rep3
N,N,0.998,0.002,91,2,Fold05.Rep3
N,N,1,0,93,2,Fold05.Rep3
S,N,0.114,0.886,109,2,Fold05.Rep3
N,N,0.992,0.008,123,2,Fold05.Rep3
N,N,0.998,0.002,142,2,Fold05.Rep3
N,S,0.998,0.002,173,2,Fold05.Rep3
S,S,0.114,0.886,178,2,Fold05.Rep3
S,S,0.114,0.886,186,2,Fold05.Rep3
N,S,0.87,0.13,191,2,Fold05.Rep3
N,S,0.948,0.052,192,2,Fold05.Rep3
N,S,0.87,0.13,203,2,Fold05.Rep3
N,N,1,0,3,2,Fold06.Rep3
N,N,0.896,0.104,7,2,Fold06.Rep3
N,N,1,0,8,2,Fold06.Rep3
N,N,1,0,10,2,Fold06.Rep3
N,N,0.992,0.008,31,2,Fold06.Rep3
N,N,0.896,0.104,53,2,Fold06.Rep3
N,N,0.93,0.07,57,2,Fold06.Rep3
N,N,1,0,66,2,Fold06.Rep3
N,N,0.988,0.012,67,2,Fold06.Rep3
N,N,0.944,0.056,85,2,Fold06.Rep3
S,N,0.43,0.57,87,2,Fold06.Rep3
N,N,1,0,107,2,Fold06.Rep3
S,N,0.43,0.57,130,2,Fold06.Rep3
S,N,0.43,0.57,137,2,Fold06.Rep3
N,S,0.998,0.002,151,2,Fold06.Rep3
N,S,0.998,0.002,154,2,Fold06.Rep3
S,S,0.194,0.806,162,2,Fold06.Rep3
N,S,0.944,0.056,166,2,Fold06.Rep3
N,S,0.878,0.122,169,2,Fold06.Rep3
N,S,0.944,0.056,187,2,Fold06.Rep3
N,N,0.72,0.28,5,2,Fold07.Rep3
N,N,0.612,0.388,24,2,Fold07.Rep3
N,N,0.612,0.388,25,2,Fold07.Rep3
N,N,0.612,0.388,28,2,Fold07.Rep3
N,N,1,0,41,2,Fold07.Rep3
N,N,0.876,0.124,43,2,Fold07.Rep3
N,N,0.902,0.098,63,2,Fold07.Rep3
N,N,0.996,0.004,84,2,Fold07.Rep3
N,N,0.876,0.124,89,2,Fold07.Rep3
N,N,1,0,98,2,Fold07.Rep3
N,N,0.994,0.006,121,2,Fold07.Rep3
N,N,0.928,0.072,127,2,Fold07.Rep3
N,N,1,0,129,2,Fold07.Rep3
S,N,0.22,0.78,140,2,Fold07.Rep3
N,N,0.902,0.098,143,2,Fold07.Rep3
N,S,0.72,0.28,160,2,Fold07.Rep3
N,S,1,0,165,2,Fold07.Rep3
S,S,0.22,0.78,167,2,Fold07.Rep3
N,S,0.996,0.004,175,2,Fold07.Rep3
N,S,1,0,185,2,Fold07.Rep3
S,S,0.22,0.78,188,2,Fold07.Rep3
N,N,0.948,0.052,22,2,Fold08.Rep3
N,N,0.736,0.264,29,2,Fold08.Rep3
N,N,0.66,0.34,34,2,Fold08.Rep3
N,N,0.736,0.264,35,2,Fold08.Rep3
